Date,TEL,MER,AEV,NVDA,META,BTC,SPY,RF_Rate
2023-01-12,20.32860565185547,5.45256265910605,1.0814249273893666,16.474395751953125,135.51991271972656,18869.587890625,379.5667419433594,0.0525
2023-01-13,20.569271087646484,5.45256265910605,1.0850599691621041,16.861534118652344,135.78756713867188,19909.57421875,381.039306640625,0.0525
2023-01-17,20.737741470336914,5.332111698248679,1.0627576580701834,17.662750244140625,134.1816864013672,21161.51953125,380.3413391113281,0.0525
2023-01-18,20.84203338623047,5.471180085116957,1.0585544077726288,17.33847427368164,131.862060546875,20688.78125,374.33642578125,0.0525
2023-01-19,21.371505737304688,5.328453648113906,1.0594693208303405,16.727828979492188,134.96481323242188,21086.79296875,371.611328125,0.0525
2023-01-20,21.451730728149414,5.157540793298916,1.0673294908882236,17.79945182800293,138.15673828125,22676.552734375,378.5341491699219,0.0525
2023-01-23,21.94109344482422,5.274563746112529,1.0780532447660358,19.150453567504883,142.02281188964844,22934.431640625,383.07598876953125,0.0525
2023-01-24,21.844823837280273,5.342175569957655,1.0656719197312081,19.2222900390625,141.89393615722656,22636.46875,382.6648254394531,0.0525
2023-01-25,22.213851928710938,5.268935250713057,1.0702524728010898,19.280162811279297,140.2682342529297,23117.859375,382.8082275390625,0.0525
2023-01-26,21.660310745239258,5.3047383077833805,1.0539822138823234,19.758098602294922,146.0177459716797,23032.77734375,387.015380859375,0.0525
2023-01-27,21.146881103515625,5.38362480615933,1.0855566082139454,20.319849014282227,150.41908264160156,23078.728515625,387.9046630859375,0.0525
2023-01-30,20.76983070373535,5.184776671530365,1.0893546730077097,19.1195125579834,145.77980041503906,22840.138671875,383.0377197265625,0.0525
2023-01-31,20.53718376159668,5.13637185637494,1.0406369922840888,19.493684768676758,147.6732177734375,23139.283203125,388.66961669921875,0.0525
2023-02-01,20.858078002929688,5.267685711387125,1.0826393670206687,20.89657211303711,151.78707885742188,23723.76953125,392.80029296875,0.0525
2023-02-02,21.45975112915039,5.4163969569865476,1.0952952890834573,21.66086769104004,187.1267547607422,23471.87109375,398.518310546875,0.0525
2023-02-03,21.22710609436035,5.562790697674418,1.0799999999999998,21.053220748901367,184.90625,23449.322265625,394.282470703125,0.0525
2023-02-06,20.53718376159668,5.540931720513615,1.0659946133467904,21.04224395751953,184.44032287597656,22760.109375,391.8728332519531,0.0525
2023-02-07,20.12804412841797,5.4206971169411124,1.0622376168551273,22.12384033203125,189.951904296875,23264.291015625,396.99798583984375,0.0525
2023-02-08,20.344648361206055,5.339629361916726,1.0261532617288947,22.155771255493164,181.83322143554688,22939.3984375,392.6568908691406,0.0525
2023-02-09,20.031774520874023,5.168006002087774,1.0399927272752605,22.2874755859375,176.37115478515625,21819.0390625,389.2529296875,0.0525
2023-02-10,19.815174102783203,5.766590389016018,1.059954233409611,21.217853546142578,172.6339874267578,21651.18359375,390.1612548828125,0.0525
2023-02-13,20.055845260620117,5.664367816091954,1.0335632183908046,21.739694595336914,177.8680419921875,21808.1015625,394.7413330078125,0.0525
2023-02-14,19.807151794433594,5.708013188272479,0.997987562244435,22.920072555541992,177.9176025390625,22220.8046875,394.55975341796875,0.0525
2023-02-15,19.54241371154785,5.625648778789152,0.9949569765722561,22.713529586791992,175.61781311035156,24307.841796875,395.84100341796875,0.0525
2023-02-16,19.526371002197266,5.578926358375053,0.9966237378068057,21.953222274780273,170.93890380859375,23623.474609375,390.3908386230469,0.0525
